id;username;email;phone_number;first_name;last_name;password;enabled;user_type
1;indeed than duh;Virgie42@yahoo.com;gosh regal;Loraine;Fisher;incidentally anenst er;false;TEACHER
2;whenever gadzooks;Wilburn.Durgan@gmail.com;so developing;Orin;Shanahan;alb meanwhile;false;ADMIN
3;notwithstanding;Theodore_Nienow@hotmail.com;different;Weston;Kshlerin;adventurously millet wheel;true;ADMIN
4;CD mmm;Destany9@gmail.com;than er;Tressa;Price;ouch while whereas;true;STUDENT
5;within;Verda.Buckridge60@yahoo.com;zowie assist;Rhoda;Oberbrunner;alongside;false;STUDENT
6;which lumbering nor;Thaddeus_Crist@yahoo.com;mature even in-joke;Sarah;Bogan;which quaff zowie;false;ADMIN
7;muddy transcend who;Gaston_Will@hotmail.com;exactly even frightfully;Jefferey;Barrows;inside;true;STUDENT
8;furiously preclude;Jazlyn42@gmail.com;per;Edwina;Cronin;tousle;true;STUDENT
9;even rival before;Kenya_Welch17@gmail.com;maestro orchestrate gah;Gwen;Cremin;pfft orientate;false;STUDENT
10;up fooey;Kassandra70@gmail.com;medium;Evan;Pollich;er overfeed inasmuch;false;TEACHER
